time_ms,errorX,errorY
16165,0,1
16187,0,0
16208,0,1
16230,0,1
16251,0,1
16273,0,0
16294,0,1
16316,0,0
16338,0,0
16360,0,0
16381,0,0
16403,0,0
16424,0,0
16446,0,0
16467,0,0
16489,0,0
16510,0,0
16532,0,0
16553,0,0
16575,0,0
16596,0,0
16618,0,0
16640,0,0
16661,0,0
16683,0,0
16704,0,0
16726,0,0
16747,0,0
16769,0,0
16790,0,0
16812,0,0
16833,0,0
16855,0,0
16876,0,0
16898,0,0
16919,0,0
16941,0,0
16962,0,0
16984,0,0
17005,0,0
17027,0,0
17048,0,0
17070,1,0.5
17091,2,0
17113,2,0
17134,2,0
17157,2,0
17178,2,0
17200,2,0
17221,2,0
17243,2,0
17264,2,0
17286,2,0
17307,2,0
17329,2,0
17350,2,0
17372,2,0
17393,2,0
17415,2,0
17436,2,0
17458,2,0
17479,2,0
17501,2,0
17522,2,0
17544,2,0
17565,2,0
17587,2,0
17608,2,0
17630,2,0
17652,2,0
17674,2,0
17695,2,0
17717,1,0.5
17738,0,0
17760,0,0
17781,0,0
17803,-1,-0.5
17824,-1,-0.5
17846,-1,-0.5
17867,-1,-0.5
17889,-1,-0.5
17910,-1,-0.5
17932,-1,-0.5
17953,-1,-0.5
17975,-1,-0.5
17996,-1,-0.5
18019,-1,-0.5
18040,-1,-0.5
18062,-1,-0.5
18083,-1,-0.5
18105,-1,-0.5
18126,-1,-0.5
18148,-1,-0.5
18169,-1,-0.5
18191,-1,-0.5
18212,0,0
18234,0,0
18255,0,0
18277,0,0
18298,1,-0.5
18320,2,0
18342,2,0
18364,2,0
18385,2,0
18407,2,0
18428,2,0
18450,2,0
18471,2,0
18493,2,0
18514,1,0.5
18536,1,0.5
18557,0,0
18579,0,0
18600,0,0
18622,-1,-0.5
18643,-1,-0.5
18665,-1,-0.5
18686,-1,-0.5
18708,-1,-0.5
18729,-1,-0.5
18752,-1,-0.5
18774,-1,-0.5
18795,-1,-0.5
18817,-1,-0.5
18838,-1,-0.5
18860,-1,-0.5
18881,-1,-0.5
18903,-1,-0.5
18924,-1,-0.5
18946,-1,-0.5
18967,-1,-0.5
18989,-1,-0.5
19010,-1,-0.5
19033,-1,-0.5
19054,-1,-0.5
19076,-1,-0.5
19097,-1,-0.5
19119,-1,-0.5
19140,-1,-0.5
19162,-1,-0.5
19183,-1,-0.5
19205,-1,-0.5
19226,-1,-0.5
19248,0,0
19269,0,0
19291,0,0
19312,0,0
19334,0,0
19355,1,-0.5
19378,1,0.5
19399,2,0
19421,2,0
19442,2,0
19464,2,0
19485,2,0
19507,2,0
19528,2,0
19550,2,0
19571,2,0
19593,1,0.5
19614,1,0.5
19636,0,0
19657,0,0
19679,0,0
19700,0,0
19722,-1,-0.5
19743,-1,-0.5
19765,-1,-0.5
19787,-1,-0.5
19809,-1,-0.5
19830,-1,-0.5
19852,-1,-0.5
19873,-1,-0.5
19895,-1,-0.5
19916,-1,-0.5
19938,-1,-0.5
19959,-1,-0.5
19981,-1,-0.5
20002,-1,-0.5
20024,-1,-0.5
20046,-1,-0.5
20068,-1,-0.5
20089,-1,-0.5
20111,-1,-0.5
20132,-1,-0.5
20154,-1,-0.5
20175,-1,-0.5
20197,-1,-0.5
20218,-1,-0.5
20240,-1,-0.5
20261,-1,-0.5
20283,-1,-0.5
20304,-1,-0.5
20326,-1,-0.5
20348,0,0
20370,0,0
20391,0,0
20413,1,-0.5
20434,2,0
20456,2,0
20477,2,0
20499,2,0
20520,2,0
20542,2,0
20563,2,0
20585,2,0
20606,2,0
20628,2,0
20649,1,0.5
20671,0,0
20692,0,0
20714,0,0
20736,0,0
20757,0,0
20779,-1,-0.5
20800,-1,-0.5
20823,-1,-0.5
20844,-1,-0.5
20866,-1,-0.5
20887,-1,-0.5
20909,-1,-0.5
20930,-1,-0.5
20952,-1,-0.5
20973,-1,-0.5
20995,-1,-0.5
21016,-1,-0.5
21038,-1,-0.5
21059,-1,-0.5
21081,-1,-0.5
21103,-1,-0.5
21125,-1,-0.5
21146,-1,-0.5
21168,-1,-0.5
21189,-1,-0.5
21211,0,0
21232,-1,-0.5
21254,-1,-0.5
21275,0,0
21297,-1,-0.5
21318,-1,-0.5
21340,-1,-0.5
21361,-1,-0.5
21384,0,0
21405,0,0
21427,0,0
21448,0,0
21470,0,0
21491,0,0
21513,0,0
21534,0,0
21556,0,0
21577,0,0
21599,0,0
21620,0,0
21642,0,0
21663,0,0
21685,0,0
21706,0,0
21728,0,0
21749,0,0
21771,0,0
21792,0,0
21814,0,0
21835,0,0
21857,-1,-0.5
21878,-1,-0.5
21900,-1,-0.5
21921,0,0
21943,0,0
21964,0,0
21986,0,0
22007,0,0
22029,-1,-0.5
22051,-1,-0.5
22073,0,0
22094,0,0
22116,0,0
22137,0,0
22159,0,0
22180,0,0
